customer_segment,key,interco,company_name,icao,cage,,,,,
Aircraft Operators,N,N,Royal Air Maroc,RAM,,,,,,
Aircraft Operators,N,N,Royal Jet,ROJ,,,,,,
Airframe OEM,Y,N,RUAG,ZZZZZ,SJ181,,,,,
Aircraft Operators,Y,N,Ryanair,RYR,,,,,,
Proponent,N,N,S3 INTERNATIONAL,ZZZZZ,,,,,,
Airframe OEM,N,N,SAAB,ZZZZZ,,,,,,
Component MRO 3rd Party,N,N,Sabena Technics,ZZZZZ,,,,,,
Engine OEM,Y,N,SAESL,ZZZZZ,,,,,,
Engine OEM,N,N,Safran,ZZZZZ,,,,,,
Proponent,N,N,SANKYO INTERNATIONAL CORP.,ZZZZZ,,,,,,
Proponent,N,N,SATAIR,ZZZZZ,,,,,,
Aircraft Operators,Y,N,SAUDI ARABIAN AIRLINES,SVA,,,,,,
Proponent,N,N,Saywell International,ZZZZZ,,,,,,
Aircraft Operators,N,N,Scandinavian Airlines System,SAS,,,,,,
Airframe OEM,Y,N,Short Brothers Plc,ZZZZZ,K4585,,,,,
Integrated Service Providers,N,N,SIA ENGINEERING COMPANY LTD.,ZZZZZ,,,,,,
Airframe OEM,Y,N,Sikorsky,ZZZZZ,3G066,,,,,
Proponent,N,N,SIMMONDS PRECISION,ZZZZZ,,,,,,
,,N,SINGAPORE AERO ENGINE SERVICES,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Singapore Airlines,SIA,,,,,,
TBD,N,N,SKF Limited,ZZZZZ,,,,,,
TBD,N,N,Sky Prime Aviation Services,ZZZZZ,,,,,,
Proponent,N,N,SKYLINE AVIATION SUPPLIES,ZZZZZ,,,,,,
Aircraft Operators,N,N,"SKYMARK AIRLINES, INC.",SKY,,,,,,
TBD,N,N,SKYWAYS TECHNICS,ZZZZZ,,,,,,
Aircraft Operators,N,N,SOUTH AFRICAN AIRWAYS,SAA,,,,,,
Proponent,N,N,Spectra Energy Transmission,ZZZZZ,,,,,,
Integrated Service Providers,Y,N,SR Technics,ZZZZZ,,,,,,
Aircraft Operators,N,N,SRI LANKAN AIRLINES LTD,ALK,,,,,,
Integrated Service Providers,Y,N,ST Aerospace,ZZZZZ,,,,,,
